Panel,L1,L2,L1s,Edges,rho_EN,rho_Ada,rho_GMM,BIC
Quality (9001) eu,0.05,0.05,0.05,46,0.581,0.600,0.575,15.96
Quality (9001) eu,0.1,0.05,0.05,37,0.950,0.585,0.475,15.09
Quality (9001) eu,0.15,0.05,0.05,39,0.729,0.648,0.601,15.35
Quality (9001) eu,0.2,0.05,0.05,37,0.692,0.611,0.615,15.06
Quality (9001) eu,0.05,0.1,0.05,47,0.731,0.574,0.564,16.10
Quality (9001) eu,0.1,0.1,0.05,41,0.573,0.000,0.016,15.40
Quality (9001) eu,0.15,0.1,0.05,FAIL,FAIL,FAIL,FAIL,FAIL
Quality (9001) eu,0.2,0.1,0.05,38,0.702,0.610,0.614,15.19
Quality (9001) eu,0.05,0.15,0.05,40,0.588,0.589,0.566,15.23
Quality (9001) eu,0.1,0.15,0.05,44,0.521,0.173,0.181,15.82
Quality (9001) eu,0.15,0.15,0.05,42,0.718,0.738,0.600,15.85
Quality (9001) eu,0.2,0.15,0.05,42,0.746,0.632,0.610,15.69
Quality (9001) eu,0.05,0.2,0.05,50,0.577,0.601,0.557,16.42
Quality (9001) eu,0.1,0.2,0.05,36,0.639,0.165,0.170,14.69
Quality (9001) eu,0.15,0.2,0.05,46,0.642,0.299,0.297,15.93
Quality (9001) eu,0.2,0.2,0.05,44,0.703,0.553,0.563,15.85
Quality (9001) eu,0.05,0.05,0.1,36,0.581,0.361,0.364,14.93
Quality (9001) eu,0.1,0.05,0.1,34,0.950,0.302,0.303,14.55
Quality (9001) eu,0.15,0.05,0.1,38,0.729,0.225,0.216,15.35
Quality (9001) eu,0.2,0.05,0.1,37,0.692,0.634,0.616,15.09
Quality (9001) eu,0.05,0.1,0.1,37,0.731,0.508,0.495,14.95
Quality (9001) eu,0.1,0.1,0.1,FAIL,FAIL,FAIL,FAIL,FAIL
Quality (9001) eu,0.15,0.1,0.1,41,0.691,0.122,0.108,15.62
Quality (9001) eu,0.2,0.1,0.1,37,0.702,0.550,0.554,15.09
Quality (9001) eu,0.05,0.15,0.1,37,0.588,0.339,0.365,15.06
Quality (9001) eu,0.1,0.15,0.1,FAIL,FAIL,FAIL,FAIL,FAIL
Quality (9001) eu,0.15,0.15,0.1,34,0.718,0.237,0.241,14.82
Quality (9001) eu,0.2,0.15,0.1,43,0.746,0.554,0.623,15.88
Quality (9001) eu,0.05,0.2,0.1,39,0.577,0.345,0.333,15.11
Quality (9001) eu,0.1,0.2,0.1,38,0.639,0.169,0.179,14.98
Quality (9001) eu,0.15,0.2,0.1,40,0.642,0.228,0.244,15.22
Quality (9001) eu,0.2,0.2,0.1,46,0.703,0.573,0.608,16.21
Quality (9001) eu,0.05,0.05,0.15,34,0.581,0.366,0.368,14.68
Quality (9001) eu,0.1,0.05,0.15,34,0.950,0.314,0.305,14.56
Quality (9001) eu,0.15,0.05,0.15,30,0.729,0.364,0.343,14.36
Quality (9001) eu,0.2,0.05,0.15,36,0.692,0.596,0.603,14.96
Quality (9001) eu,0.05,0.1,0.15,37,0.731,0.533,0.489,15.00
Quality (9001) eu,0.1,0.1,0.15,36,0.573,0.253,0.166,14.91
Quality (9001) eu,0.15,0.1,0.15,29,0.691,0.264,0.276,14.25
Quality (9001) eu,0.2,0.1,0.15,35,0.702,0.563,0.549,14.87
Quality (9001) eu,0.05,0.15,0.15,33,0.588,0.360,0.372,14.54
Quality (9001) eu,0.1,0.15,0.15,31,0.521,0.158,0.181,14.31
Quality (9001) eu,0.15,0.15,0.15,34,0.718,0.235,0.243,14.82
Quality (9001) eu,0.2,0.15,0.15,33,0.746,0.519,0.522,14.67
Quality (9001) eu,0.05,0.2,0.15,FAIL,FAIL,FAIL,FAIL,FAIL
Quality (9001) eu,0.1,0.2,0.15,38,0.639,0.179,0.187,15.02
Quality (9001) eu,0.15,0.2,0.15,39,0.642,0.232,0.254,15.13
Quality (9001) eu,0.2,0.2,0.15,35,0.703,0.535,0.532,14.92
Quality (9001) eu,0.05,0.05,0.2,35,0.581,0.366,0.369,14.81
Quality (9001) eu,0.1,0.05,0.2,35,0.950,0.316,0.305,14.70
Quality (9001) eu,0.15,0.05,0.2,30,0.729,0.329,0.327,14.36
Quality (9001) eu,0.2,0.05,0.2,34,0.692,0.533,0.546,14.70
Quality (9001) eu,0.05,0.1,0.2,FAIL,FAIL,FAIL,FAIL,FAIL
Quality (9001) eu,0.1,0.1,0.2,34,0.573,0.145,0.151,14.62
Quality (9001) eu,0.15,0.1,0.2,29,0.691,0.262,0.280,14.26
Quality (9001) eu,0.2,0.1,0.2,32,0.702,0.526,0.522,14.54
Quality (9001) eu,0.05,0.15,0.2,33,0.588,0.359,0.373,14.55
Quality (9001) eu,0.1,0.15,0.2,28,0.521,0.203,0.203,13.96
Quality (9001) eu,0.15,0.15,0.2,30,0.718,0.256,0.255,14.30
Quality (9001) eu,0.2,0.15,0.2,33,0.746,0.518,0.522,14.67
Quality (9001) eu,0.05,0.2,0.2,38,0.577,0.311,0.327,15.19
Quality (9001) eu,0.1,0.2,0.2,39,0.639,0.185,0.192,15.20
Quality (9001) eu,0.15,0.2,0.2,38,0.642,0.339,0.335,15.26
Quality (9001) eu,0.2,0.2,0.2,35,0.703,0.536,0.531,14.93
Environment (14001) eu,0.05,0.05,0.05,38,0.950,0.251,0.246,15.72
Environment (14001) eu,0.1,0.05,0.05,39,0.554,0.316,0.251,16.02
Environment (14001) eu,0.15,0.05,0.05,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.2,0.05,0.05,48,0.950,0.000,0.000,17.31
Environment (14001) eu,0.05,0.1,0.05,33,0.950,0.293,0.283,14.94
Environment (14001) eu,0.1,0.1,0.05,40,0.950,0.217,0.228,16.03
Environment (14001) eu,0.15,0.1,0.05,42,0.950,0.242,0.246,16.42
Environment (14001) eu,0.2,0.1,0.05,47,0.000,0.000,0.000,17.23
Environment (14001) eu,0.05,0.15,0.05,31,0.950,0.277,0.276,14.62
