"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
0,9.83237806914646e-14,0,0,9.88097523884052e-14,0,8.92885338836024e-14,0,8.8701144617724e-14,9.19642030552948e-14,1.02438671986406e-13,9.21380229787965e-14,0,0,9.52045411295708e-14,0,0,0.999999999986758,0,9.3548433223002e-14,0,9.14046186476234e-14,0,0,0,9.85328456893656e-14,1.21851714572119e-11
1.05949254861664e-13,0,0,0,1.07306561217681e-13,0,1.42474013564085e-13,0,8.04554982076195e-13,2.70780967197109e-11,1.11292596157613e-13,1.03513606316587e-13,0,0,1.05573949214507e-13,0,0,1.19360068440906e-12,0,5.75600246754473e-11,0,0.999999999912454,0,0,0,1.07928453046918e-13,1.02575686460798e-13
0,0,0,1.18553171027692e-11,0,3.00493780979426e-12,0,9.17642126588499e-14,0,0,0,0,2.00359615144978e-12,7.51278916926364e-14,0,9.98271931046772e-14,2.14071044751631e-10,0,9.37148273238019e-14,0,8.80443562784084e-14,0,1.05386853765273e-13,0.999999999768518,0,0,0
0,0,1.30833775581158e-11,0,0,0,0,9.5474571962586e-14,0,0,0,0,4.55586481209502e-13,9.86511748203149e-14,0,9.37537170157325e-14,9.16937803853465e-14,0,9.63214986552136e-14,0,0.999999999967925,0,1.79519715268751e-11,9.25133955208226e-14,0,0,0
0,0,8.69626939201469e-14,0,0,0,0,9.49659513562145e-14,0,0,0,0,0,0,0,0.999999999972461,2.70041560545486e-11,0,8.44782638136162e-14,0,9.58000615910436e-14,0,7.71950740522099e-14,8.74938333283752e-14,0,0,0
0,0,9.51933993661864e-14,9.86204199424121e-14,0,0,0,1.05537912812063e-13,0,0,0,0,9.34783087376308e-11,1.23948379417321e-13,0,9.88595839151719e-14,0.999999999853578,0,1.03658840489803e-13,0,1.14470990137453e-13,0,9.20887745119613e-14,5.20834746478297e-11,0,0,0
1.00502270586582e-13,9.13664208418497e-14,0,0,1.85990769198058e-13,0,0,0,1.97751548248244e-11,1.6102596872079e-11,8.16823488918142e-14,0.999999999894204,0,0,1.00153657002664e-13,0,0,1.07031836782248e-13,0,1.39148383278688e-12,0,1.09887439295761e-13,0,0,8.86593604636628e-14,9.15844002352482e-14,6.75817529167682e-11
9.12317204067272e-14,9.27526112470984e-14,0,0,0.62568967543894,0,9.72612551818792e-14,0,9.69127961397602e-14,9.62238400340623e-14,8.8129566373432e-14,9.42338403940171e-14,0,0,0.374310324559227,0,0,9.15762616684527e-14,0,9.34510448719334e-14,0,8.01542979920992e-13,0,0,0,9.3510167423551e-14,9.45112097895209e-14
9.52596633497741e-14,9.12540464442783e-14,0,0,9.05328127267514e-14,0,7.42677884587512e-12,0,0,0.999999999958146,8.68501302449323e-14,9.82515781548927e-14,0,0,9.52194586450898e-14,0,0,9.85388619778144e-14,0,2.70109702686178e-11,0,5.35269044811368e-12,0,0,0,9.12959730248709e-14,1.32149657948621e-12
9.85937254460465e-14,1.01722134695513e-13,0,0,1.0032503266421e-13,0,4.88107244466645e-12,0,9.27174048218102e-14,0,1.04186244256975e-13,9.52886960610447e-14,0,0,9.93785166038386e-14,0,0,9.68114816685914e-14,0,1.12922596724993e-09,0,0.99999999886488,0,0,0,1.01741783298311e-13,9.47024234992599e-14
0.999999999998914,8.98051285140292e-14,0,0,9.00978503073793e-14,0,9.0621981614979e-14,0,9.09706380046399e-14,9.02005218990562e-14,0,9.1338324644243e-14,0,0,8.96216263533798e-14,0,0,9.10815138881374e-14,0,9.04002016158809e-14,0,9.01710132419625e-14,0,0,0,8.95791123972894e-14,9.1036811453809e-14
0,0,9.52226352198916e-14,9.87649689758372e-14,0,0,0,1.20577728808958e-13,0,0,0,0,0,1.48180203388792e-13,0,1.07703391043119e-13,9.56042792260379e-14,0,1.12836604405535e-13,0,1.27071719075036e-13,0,0.999999999998948,1.01426917389324e-13,0,0,0
0,0,3.65689579535157e-13,3.54487173328168e-12,0,9.15752472180005e-14,0,8.56358241753265e-14,0,0,0,0,0,7.94139726651936e-14,0,8.97231942394303e-14,0.999999999988884,0,8.78040489352845e-14,0,5.06664951411408e-12,0,9.34901982963418e-14,1.61493838004812e-12,0,0,0
1.19877981118828e-13,1.47812552229803e-09,0,0,3.60380561068099e-13,0,0.999999998430765,0,6.61489289107303e-13,8.62640739694051e-11,1.0115638137843e-13,2.71206111784897e-12,0,0,1.17946287337391e-13,0,0,1.24338314571905e-13,0,1.22057088447728e-13,0,1.29092862081321e-13,0,0,1.08275698744432e-13,1.10032799395102e-13,1.75565066467913e-13
0,0,9.6460704172233e-14,9.40288368497093e-14,0,3.8297213195445e-12,0,9.37000695253483e-14,0,0,0,0,9.40502662518614e-14,8.30858471773687e-14,0,3.43044406474616e-13,2.25401009858955e-12,0,5.60050069819471e-12,0,8.69797790333231e-14,0,0.999999999987331,9.45827503961397e-14,0,0,0
4.17177461993956e-14,4.38515742487862e-14,0,0,1.36553020618839e-09,0,6.746971640752e-14,0,4.90382227404689e-14,4.87105680577499e-13,3.7124904040848e-14,4.55156971306397e-14,0,0,1.37626549662115e-09,0,0,4.2433135765801e-14,0,4.43983769605531e-14,0,6.42616864653529e-14,0,0,0,4.5319413680457e-14,0.999999997279086
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.72018096546985e-09,8.82209847590282e-14,0,0,8.42328418541824e-14,0,9.94343095690037e-14,0,9.96091165663966e-14,9.57457623914983e-14,8.34813950205676e-14,0.837494061483766,0,0,9.20599165488546e-14,0,0,0,0,0.162505935795138,0,9.62962208156387e-14,0,0,0,8.7519989901079e-14,9.70195467418005e-14
0,0,8.90012686995616e-14,8.96104165127238e-14,0,0,0,9.50171660493449e-14,0,0,0,0,9.0324584601926e-14,1.03569116621715e-13,0,9.09475194518987e-14,8.86269901866422e-14,0,0,0,9.74537416728957e-14,0,0.999999999999154,9.19025700933961e-14,0,0,0
1.0098803797582e-13,1.02215364184195e-13,0,0,1.02078345086411e-13,0,0.999999999909798,0,3.14626063768334e-12,9.85712126610947e-14,1.04823564061052e-13,9.95357627293015e-14,0,0,1.00239153674179e-13,0,0,3.77166016883209e-11,0,0,0,4.84142371486617e-11,0,0,0,1.02242155909106e-13,9.87928825200053e-14
0,0,9.30724320711583e-14,2.19539083466579e-10,0,0,0,8.4764736635526e-14,0,0,0,0,0.999999999778339,8.97828295455188e-14,0,8.55003249120467e-14,9.03687949108999e-14,0,9.03661156559304e-14,0,0,0,9.05584035648866e-14,1.49756447625672e-12,0,0,0
0,0,8.93195899565222e-14,0,0,0,0,0.999999999999237,0,0,0,0,0,1.02017213037187e-13,0,8.79740665096736e-14,8.84393141317889e-14,0,9.53395875920855e-14,0,9.91747431102166e-14,0,9.17357700024724e-14,9.30156735504278e-14,0,0,0
0,0,9.6489905641353e-14,0.999999999680721,0,3.05765630982282e-10,0,1.02239098277013e-13,0,0,0,0,9.92202810671547e-14,1.08685069094604e-13,0,9.98236784655248e-14,9.78474356098431e-14,0,2.77942684190946e-12,0,1.04136847021561e-13,0,0,9.99972424559176e-12,0,0,0
0,0,8.84838885665607e-14,7.3214565931039e-12,0,0,0,8.18516351619446e-14,0,0,0,0,0,9.03066668773449e-14,0,8.06919017498671e-14,8.43488546011785e-14,0,1.07797910083609e-13,0,0.880678671292221,0,0.119321328699938,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.880678671299984,8.19363130687746e-14,0,2.60225826566146e-12,0,1.00948553134093e-13,0,0,0,0,8.87870101994751e-14,9.32621493588315e-14,0,2.96937860177744e-11,6.12729697782967e-11,0,9.47294448788198e-14,0,8.66186288994541e-14,0,0.11932132860542,8.98291840544546e-14,0,0,0
9.40495396248429e-14,9.59118734734157e-14,0,0,9.57543878079182e-14,0,1.47374648832581e-13,0,6.47723008655905e-12,0.99999999999242,9.8517031983658e-14,9.1832493916018e-14,0,0,9.37001420933508e-14,0,0,9.24193528448877e-14,0,9.30247631607038e-14,0,9.11625938080581e-14,0,0,0,9.58895060372981e-14,0
