Panel,L1,L2,L1s,Edges,rho_EN,rho_Ada,rho_GMM,BIC
Quality (9001) eu,0.05,0.05,0.05,44,0.592,0.638,0.633,15.77
Quality (9001) eu,0.15,0.05,0.05,53,0.749,0.740,0.700,16.79
Quality (9001) eu,0.25,0.05,0.05,51,0.560,0.622,0.625,16.70
Quality (9001) eu,0.05,0.15,0.05,44,0.709,0.553,0.538,15.72
Quality (9001) eu,0.15,0.15,0.05,52,0.626,0.627,0.614,16.67
Quality (9001) eu,0.25,0.15,0.05,57,0.664,0.667,0.670,17.25
Quality (9001) eu,0.05,0.25,0.05,44,0.683,0.529,0.511,15.74
Quality (9001) eu,0.15,0.25,0.05,FAIL,FAIL,FAIL,FAIL,FAIL
Quality (9001) eu,0.25,0.25,0.05,60,0.704,0.665,0.657,17.76
Quality (9001) eu,0.05,0.05,0.15,44,0.592,0.508,0.471,15.76
Quality (9001) eu,0.15,0.05,0.15,35,0.749,0.556,0.553,14.72
Quality (9001) eu,0.25,0.05,0.15,47,0.560,0.642,0.624,16.21
Quality (9001) eu,0.05,0.15,0.15,38,0.709,0.518,0.485,14.98
Quality (9001) eu,0.15,0.15,0.15,FAIL,FAIL,FAIL,FAIL,FAIL
Quality (9001) eu,0.25,0.15,0.15,57,0.664,0.682,0.666,17.34
Quality (9001) eu,0.05,0.25,0.15,38,0.683,0.482,0.453,15.00
Quality (9001) eu,0.15,0.25,0.15,32,0.603,0.472,0.456,14.39
Quality (9001) eu,0.25,0.25,0.15,46,0.704,0.615,0.578,16.14
Quality (9001) eu,0.05,0.05,0.25,39,0.592,0.606,0.601,15.23
Quality (9001) eu,0.15,0.05,0.25,34,0.749,0.557,0.553,14.59
Quality (9001) eu,0.25,0.05,0.25,33,0.560,0.505,0.505,14.46
Quality (9001) eu,0.05,0.15,0.25,36,0.709,0.480,0.445,14.78
Quality (9001) eu,0.15,0.15,0.25,35,0.626,0.540,0.538,14.75
Quality (9001) eu,0.25,0.15,0.25,48,0.664,0.567,0.580,16.39
Quality (9001) eu,0.05,0.25,0.25,36,0.683,0.434,0.398,14.83
Quality (9001) eu,0.15,0.25,0.25,29,0.603,0.453,0.452,14.15
Quality (9001) eu,0.25,0.25,0.25,45,0.704,0.549,0.546,16.01
Environment (14001) eu,0.05,0.05,0.05,37,0.950,0.349,0.322,15.49
Environment (14001) eu,0.15,0.05,0.05,44,0.950,0.585,0.583,16.64
Environment (14001) eu,0.25,0.05,0.05,37,0.950,0.408,0.414,15.73
Environment (14001) eu,0.05,0.15,0.05,41,0.950,0.335,0.275,16.37
Environment (14001) eu,0.15,0.15,0.05,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.25,0.15,0.05,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.05,0.25,0.05,41,0.950,0.349,0.269,16.39
Environment (14001) eu,0.15,0.25,0.05,47,0.950,0.693,0.677,17.13
Environment (14001) eu,0.25,0.25,0.05,51,0.950,0.714,0.722,17.91
Environment (14001) eu,0.05,0.05,0.15,29,0.950,0.482,0.400,14.64
Environment (14001) eu,0.15,0.05,0.15,46,0.950,0.611,0.590,17.02
Environment (14001) eu,0.25,0.05,0.15,39,0.950,0.376,0.375,16.18
Environment (14001) eu,0.05,0.15,0.15,33,0.950,0.184,0.186,14.98
Environment (14001) eu,0.15,0.15,0.15,43,0.950,0.664,0.643,16.63
Environment (14001) eu,0.25,0.15,0.15,43,0.950,0.419,0.374,16.87
Environment (14001) eu,0.05,0.25,0.15,34,0.950,0.185,0.187,15.26
Environment (14001) eu,0.15,0.25,0.15,39,0.950,0.580,0.562,15.96
Environment (14001) eu,0.25,0.25,0.15,53,0.950,0.692,0.664,18.20
Environment (14001) eu,0.05,0.05,0.25,27,0.950,0.443,0.411,14.27
Environment (14001) eu,0.15,0.05,0.25,37,0.950,0.494,0.484,15.74
Environment (14001) eu,0.25,0.05,0.25,40,0.950,0.415,0.382,16.37
Environment (14001) eu,0.05,0.15,0.25,31,0.950,0.268,0.226,14.71
Environment (14001) eu,0.15,0.15,0.25,44,0.950,0.698,0.637,16.83
Environment (14001) eu,0.25,0.15,0.25,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.05,0.25,0.25,32,0.950,0.309,0.261,14.93
Environment (14001) eu,0.15,0.25,0.25,40,0.950,0.595,0.549,16.13
Environment (14001) eu,0.25,0.25,0.25,46,0.950,0.532,0.536,17.31
