"country","iso3c","year","gov_dim","Governance estimate (approx. -2.5 to +2.5)","Standard error (estimate)","Lower threshold (90% conf. int. estimate)","Upper threshold (90% conf. int. estimate)","Governance score (0-100)","Standard error (gov. score)","Lower threshold (90% conf. int. score)","Upper threshold (90% conf. int. score)","ADB mean","AFR mean","ARB mean","ASB mean","ASD mean","BPS mean","BTI mean","CCR mean","EBR mean","EIU mean","EQI mean","EUB mean","FRH mean","GCB mean","GCS mean","GII mean","GWP mean","HER mean","HRM mean","HUM mean","IFD mean","IJT mean","IRP mean","LBO mean","MSI mean","OBI mean","PIA mean","PRS mean","RSF mean","VAB mean","VDM mean","WBS mean","WCY mean","WJP mean","WMO mean"
"Andorra","ADO",1996,"va",1.5419544,0.3010208,1.0482803,2.0356285,83.8372793,5.2686131,75.1967538,92.4778048,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1
"Afghanistan","AFG",1996,"va",-2.235444,0.24508,-2.6373752,-1.8335128,17.7234054,4.28951,10.688609,24.7582018,,,,,,,,,,,,,0,,,,,,,0.3,,,,,,,,,,,0.2465667,,,,0.0625
"Angola","AGO",1996,"va",-1.7462075,0.1939854,-2.0643436,-1.4280714,26.2862619,3.3952278,20.7180883,31.8544354,,,,,,,,,,0.125,,,0.1977778,,,,,,,0.1,,,,,,,,0.25,,,0.3202667,,,,0.125
"Albania","ALB",1996,"va",-0.8260766,0.2213967,-1.1891672,-0.462986,42.3908428,3.8749934,36.0358536,48.745832,,,,,,,,,,,,,0.4166667,,,,,,,0.7,,,,,,,,0.5,,,0.4483556,,,,0.25
"United Arab Emirates","ARE",1996,"va",-0.8480306,0.1939854,-1.1661667,-0.5298945,42.0065932,3.3952278,36.4384196,47.5747667,,,,,,,,,,0.375,,,0.2466667,,,,,,,0.2,,,,,,,,0.5833333,,,0.3325667,,,,0.6875
"Argentina","ARG",1996,"va",0.4329195,0.1930084,0.1163857,0.7494533,64.4264082,3.3781277,58.8862788,69.9665375,,,,,,,,,,0.5,,,0.73,,,,,,,0.8,,,,0.25,,,,0.8333333,,,0.6720444,,0.3575,,0.5625
"Armenia","ARM",1996,"va",-0.8306424,0.24508,-1.2325736,-0.4287112,42.3109299,4.28951,35.2761335,49.3457263,,,,,,,,,,,,,0.363,,,,,,,0.4,,,,,,,,,,,0.4726444,,,,0.375
"Antigua and Barbuda","ATG",1996,"va",0.1882001,0.3010208,-0.305474,0.6818742,60.1432096,5.2686131,51.5026841,68.7837351,,,,,,,,,,,,,0.5688889,,,,,,,1,,,,,,,,,,,,,,,0.625
"Australia","AUS",1996,"va",1.4197298,0.1931662,1.1029372,1.7365224,81.6980446,3.3808896,76.1533856,87.2427036,,,,,,,,,,0.75,,,0.9666667,,,,,,,1,,,,,,,,1,,,0.7442667,,0.51,,1
"Austria","AUT",1996,"va",1.4350143,0.1931662,1.1182217,1.7518069,81.9655614,3.3808896,76.4209024,87.5102204,,,,,,,,,,0.875,,,0.96,,,,,,,0.8,,,,,,,,1,,,0.7122778,,0.55,,1
"Azerbaijan","AZE",1996,"va",-1.3465846,0.2093266,-1.6898802,-1.003289,33.2806573,3.6637363,27.2721298,39.2891847,,,,,,,,,,0.125,,,0.2436667,,,,,,,0.4,,,,,,,,,,,0.3969889,,,,0.25
"Burundi","BDI",1996,"va",-1.1879285,0.24508,-1.5898597,-0.7859973,36.0575339,4.28951,29.0227375,43.0923303,,,,,,,,,,,,,0.05,,,,,,,0.2,,,,,,,,,,,0.6020667,,,,0.125
"Belgium","BEL",1996,"va",1.458958,0.1931662,1.1421654,1.7757506,82.3846357,3.3808896,76.8399767,87.9292947,,,,,,,,,,0.875,,,0.9111111,,,,,,,1,,,,,,,,1,,,0.7270111,,0.423,,1
"Benin","BEN",1996,"va",0.1522383,0.24508,-0.2496929,0.5541695,59.5137886,4.28951,52.4789922,66.548585,,,,,,,,,,,,,0.7888889,,,,,,,0.8,,,,,,,,,,,0.5651333,,,,0.4375
"Burkina Faso","BFA",1996,"va",-0.6519249,0.2213967,-1.0150155,-0.2888343,45.438931,3.8749934,39.0839418,51.7939202,,,,,,,,,,,,,0.4877778,,,,,,,0.9,,,,,,,,0.4166667,,,0.4984556,,,,0.25
"Bangladesh","BGD",1996,"va",-0.3178901,0.1939854,-0.6360262,0.000246,51.2853714,3.3952278,45.7171978,56.853545,,,,,,,,,,0.25,,,0.5877778,,,,,,,0.7,,,,,,,,0.6666667,,,0.5298,,,,0.5
"Bulgaria","BGR",1996,"va",0.2553917,0.1939854,-0.0627444,0.5735278,61.3192298,3.3952278,55.7510562,66.8874034,,,,,,,,,,0.375,,,0.6453333,,,,,,,0.7,,,,,,,,0.9166667,,,0.6282667,,,,0.625
"Bahrain","BHR",1996,"va",-1.0912054,0.1939854,-1.4093415,-0.7730693,37.7504289,3.3952278,32.1822553,43.3186025,,,,,,,,,,0.375,,,0.1688889,,,,,,,0.4,,,,,,,,0.5,,,0.2734,,,,0.5625
"Bahamas, The","BHS",1996,"va",1.0988862,0.2600403,0.6724201,1.5253523,76.082483,4.5513526,68.6182648,83.5467012,,,,,,,,,,,,,0.9211111,,,,,,,1,,,,,,,,0.8333333,,,,,,,0.875
"Bosnia and Herzegovina","BIH",1996,"va",-0.1938932,0.2168861,-0.5495864,0.1618,53.4556258,3.7960465,47.2301095,59.6811421,,,,,,,,,,0.625,,,0.3188889,,,,,,,,,,,,,,,,,,0.5622333,,,,0.4375
"Belarus","BLR",1996,"va",-0.9090817,0.24508,-1.3110129,-0.5071505,40.9380469,4.28951,33.9032505,47.9728433,,,,,,,,,,,,,0.155,,,,,,,0.1,,,,,,,,,,,0.5560444,,,,0.4375
"Belize","BLZ",1996,"va",0.8526354,0.3010208,0.3589613,1.3463095,71.7724811,5.2686131,63.1319556,80.4130066,,,,,,,,,,,,,0.9166667,,,,,,,0.9,,,,,,,,,,,,,,,0.6875
"Bermuda","BMU",1996,"va",1.0262091,0.4588955,0.2736205,1.7787977,74.8104529,8.0318132,61.6382792,87.9826265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875
"Bolivia","BOL",1996,"va",0.0639741,0.1938256,-0.2538999,0.3818481,57.9689454,3.3924306,52.4053592,63.5325316,,,,,,,,,,0.25,,,0.7666667,,,,,,,0.9,,,,0.21,,,,0.5833333,,,0.6571,,,,0.5625
"Brazil","BRA",1996,"va",0.2728291,0.1930084,-0.0437047,0.5893629,61.6244277,3.3781277,56.0842984,67.1645571,,,,,,,,,,0.375,,,0.6777778,,,,,,,1,,,,0.2,,,,0.5833333,,,0.6841111,,0.4927,,0.6875
"Barbados","BRB",1996,"va",1.2326789,0.24508,0.8307477,1.6346101,78.4241883,4.28951,71.3893919,85.4589847,,,,,,,,,,,,,0.9466667,,,,,,,1,,,,,,,,,,,0.6539333,,,,1
"Brunei Darussalam","BRN",1996,"va",-0.9373843,0.2600403,-1.3638504,-0.5109182,40.442681,4.5513526,32.9784628,47.9068992,,,,,,,,,,,,,0.1977778,,,,,,,0.3,,,,,,,,0.5,,,,,,,0.5625
"Bhutan","BTN",1996,"va",-0.902348,0.24508,-1.3042792,-0.5004168,41.0559035,4.28951,34.0211071,48.0906999,,,,,,,,,,,,,0.1166667,,,,,,,0.4,,,,,,,,,,,0.4847667,,,,0.5625
"Botswana","BWA",1996,"va",0.6145082,0.1939854,0.2963721,0.9326443,67.6046624,3.3952278,62.0364888,73.172836,,,,,,,,,,0.5,,,0.7888889,,,,,,,1,,,,,,,,0.9166667,,,0.6383222,,,,0.6875
"Central African Republic","CAF",1996,"va",-1.0138841,0.24508,-1.4158153,-0.6119529,39.1037441,4.28951,32.0689477,46.1385405,,,,,,,,,,,,,0.45,,,,,,,0.4,,,,,,,,,,,0.4368778,,,,0.1875
"Canada","CAN",1996,"va",1.6107297,0.1931662,1.2939371,1.9275223,85.0410182,3.3808896,79.4963592,90.5856772,,,,,,,,,,1,,,0.9633333,,,,,,,1,,,,,,,,1,,,0.7135556,,0.576,,1
"Switzerland","CHE",1996,"va",1.5685327,0.1931662,1.2517401,1.8853253,84.3024657,3.3808896,78.7578067,89.8471247,,,,,,,,,,1,,,0.97,,,,,,,1,,,,,,,,1,,,0.7168333,,0.4536,,0.9375
"Chile","CHL",1996,"va",0.960643,0.1930084,0.6441092,1.2771768,73.6628829,3.3781277,68.1227536,79.2030123,,,,,,,,,,0.875,,,0.7888889,,,,,,,0.9,,,,0.42,,,,0.6666667,,,0.7273333,,0.6028,,0.6875
"China","CHN",1996,"va",-1.5975164,0.1931662,-1.914309,-1.2807238,28.8887262,3.3808896,23.3440672,34.4333852,,,,,,,,,,0.125,,,0.0566667,,,,,,,0.1,,,,,,,,0.3333333,,,0.3235667,,0.6139,,0.375
